Order,Hand,Top 7.5%,Top 11%,BWay + Aces,Top 27%,Top 20%,Top 15%,Top 36%,Top 3%,Top 5%
1,AA,84.617%,84.765%,85.957%,84.475%,84.565%,85.591%,85.063%,83.430%,84.119%
2,AK,56.130%,58.553%,64.975%,63.776%,61.960%,62.144%,65.856%,42.806%,51.152%
3,AQ,47.776%,53.209%,62.460%,61.068%,58.464%,58.056%,63.123%,32.063%,38.938%
4,AJ,39.461%,47.078%,59.893%,58.542%,55.240%,53.376%,61.109%,29.531%,33.418%
5,AT,35.162%,42.327%,57.321%,56.168%,51.868%,49.288%,59.368%,29.832%,32.144%
6,A9,32.692%,38.619%,52.641%,51.912%,47.907%,44.729%,55.831%,29.178%,29.919%
7,A8,31.901%,37.263%,50.441%,49.915%,45.024%,41.500%,53.702%,29.434%,30.233%
8,A7,31.991%,36.330%,48.331%,47.916%,43.552%,39.668%,51.633%,29.592%,30.339%
9,A6,31.818%,35.532%,46.397%,46.671%,42.505%,38.424%,49.925%,29.324%,30.164%
10,A5,33.166%,36.167%,46.148%,47.007%,42.868%,38.762%,49.705%,30.727%,30.164%
11,A4,32.813%,35.770%,45.090%,46.325%,42.065%,38.113%,48.816%,30.329%,31.140%
12,A3,32.438%,35.445%,44.378%,45.783%,41.375%,37.726%,48.208%,29.929%,30.776%
13,A2,32.072%,35.100%,43.643%,45.234%,40.663%,37.320%,47.602%,29.528%,30.372%
14,KK,70.496%,72.788%,74.912%,76.705%,74.466%,72.281%,76.794%,62.601%,69.019%
15,KQ,37.214%,40.582%,48.794%,52.108%,46.969%,42.538%,53.302%,29.330%,33.230%
16,KJ,34.981%,37.925%,46.769%,49.792%,44.137%,40.324%,51.552%,26.740%,34.595%
17,KT,35.419%,37.099%,44.848%,47.642%,42.419%,39.358%,49.960%,27.225%,33.406%
18,K9,33.574%,35.943%,41.960%,44.486%,40.011%,37.303%,46.736%,26.040%,30.710%
19,K8,31.960%,34.466%,40.645%,42.689%,38.176%,35.715%,44.160%,25.650%,30.145%
20,K7,32.242%,34.401%,40.390%,41.868%,38.427%,36.084%,43.252%,25.907%,30.405%
21,K6,32.366%,33.926%,40.015%,41.568%,38.078%,35.714%,42.566%,25.924%,30.545%
22,K5,32.259%,33.222%,39.363%,40.986%,37.526%,35.057%,41.798%,25.787%,30.392%
23,K4,31.915%,32.896%,38.729%,40.412%,36.853%,34.654%,41.141%,25.373%,30.023%
24,K3,31.545%,32.552%,38.066%,39.859%,36.172%,34.276%,40.541%,24.956%,29.667%
25,K2,31.182%,32.198%,37.395%,39.302%,35.476%,33.893%,39.946%,24.538%,29.272%
26,QQ,62.664%,66.647%,71.140%,71.902%,69.904%,67.660%,72.242%,47.366%,57.891%
27,QJ,34.390%,37.854%,44.655%,46.135%,42.458%,39.866%,47.294%,29.188%,33.334%
28,QT,34.845%,37.036%,42.755%,44.028%,41.850%,39.142%,45.774%,29.434%,32.119%
29,Q9,32.995%,35.855%,40.532%,41.478%,39.420%,37.087%,43.207%,28.506%,29.417%
30,Q8,31.346%,34.291%,39.235%,39.733%,37.738%,35.472%,41.380%,27.713%,28.894%
31,Q7,30.487%,33.073%,37.911%,37.975%,36.886%,34.675%,39.980%,26.741%,27.987%
32,Q6,30.811%,32.815%,37.795%,38.105%,36.788%,34.544%,39.668%,27.067%,28.311%
33,Q5,30.702%,32.110%,37.167%,37.675%,36.262%,33.892%,39.073%,26.959%,28.157%
34,Q4,30.355%,31.811%,36.517%,37.217%,35.590%,33.504%,38.483%,26.582%,27.784%
35,Q3,29.981%,31.463%,35.827%,36.642%,34.905%,33.117%,37.879%,26.202%,27.424%
36,Q2,29.615%,31.105%,35.128%,36.053%,34.201%,32.725%,37.276%,25.820%,27.025%
37,JJ,55.090%,60.874%,67.319%,67.469%,65.695%,63.204%,68.996%,36.585%,50.184%
38,JT,34.701%,37.847%,41.662%,42.025%,41.283%,39.814%,44.445%,28.298%,33.714%
39,J9,32.851%,36.610%,40.055%,40.008%,38.883%,37.765%,42.239%,27.428%,31.245%
40,J8,31.227%,35.117%,38.775%,38.296%,37.396%,36.201%,40.462%,26.679%,30.417%
41,J7,30.284%,33.785%,37.438%,36.683%,36.540%,35.313%,39.193%,25.710%,29.529%
42,J6,29.388%,32.277%,36.149%,35.888%,35.238%,33.926%,37.852%,24.634%,28.630%
43,J5,29.515%,31.852%,35.777%,35.709%,34.962%,33.545%,37.633%,24.834%,28.778%
44,J4,29.168%,31.571%,35.124%,35.258%,34.289%,33.171%,37.045%,24.450%,28.424%
45,J3,28.795%,31.229%,34.419%,34.668%,33.597%,32.788%,36.432%,24.064%,28.081%
46,J2,28.429%,30.879%,33.705%,34.061%,32.884%,32.400%,35.816%,23.675%,27.702%
47,TT,49.716%,56.462%,63.530%,63.196%,65.695%,59.673%,65.658%,33.654%,44.255%
48,T9,34.016%,36.859%,40.498%,39.756%,39.119%,38.393%,41.813%,28.151%,31.140%
49,T8,32.310%,35.369%,39.232%,38.067%,37.834%,36.852%,39.902%,27.543%,30.323%
50,T7,31.341%,34.018%,37.885%,36.573%,36.927%,35.938%,38.749%,26.725%,29.461%
51,T6,30.454%,32.486%,36.556%,35.738%,35.616%,34.530%,37.421%,25.770%,28.564%
52,T5,29.320%,30.779%,34.935%,34.354%,34.113%,32.864%,36.005%,24.508%,27.386%
53,T4,29.268%,30.777%,34.533%,34.145%,33.706%,32.773%,35.659%,24.493%,27.332%
54,T3,28.904%,30.434%,33.827%,33.553%,33.021%,32.392%,35.039%,24.105%,26.985%
55,T2,28.547%,30.082%,33.111%,32.941%,32.311%,32.006%,34.408%,23.714%,26.602%
56,99,44.623%,52.084%,59.731%,58.827%,57.690%,55.723%,61.616%,33.168%,37.462%
57,98,32.572%,36.111%,40.314%,38.632%,38.026%,37.033%,40.140%,28.288%,29.783%
58,97,31.832%,34.954%,39.051%,37.359%,38.006%,36.241%,39.089%,28.021%,29.288%
59,96,31.038%,33.518%,37.755%,36.530%,35.953%,34.878%,37.732%,27.073%,28.502%
60,95,29.916%,31.832%,36.142%,35.132%,34.429%,33.208%,36.289%,25.812%,27.325%
61,94,28.542%,30.548%,34.461%,33.669%,32.757%,31.831%,34.704%,24.309%,25.857%
62,93,28.491%,30.500%,34.069%,33.364%,32.335%,31.724%,34.352%,24.292%,25.835%
63,92,28.135%,30.153%,33.376%,32.766%,31.623%,31.336%,33.726%,23.901%,25.448%
64,88,40.480%,48.873%,57.673%,55.810%,54.486%,52.392%,58.497%,33.281%,35.641%
65,87,32.053%,35.263%,39.773%,37.870%,37.963%,36.606%,39.485%,29.316%,30.073%
66,86,31.337%,33.938%,38.544%,37.108%,36.745%,35.321%,38.252%,28.418%,29.400%
67,85,30.236%,32.247%,36.958%,35.727%,35.240%,33.651%,36.838%,27.164%,28.328%
68,84,28.860%,30.929%,35.290%,34.246%,33.558%,32.243%,35.232%,25.662%,26.930%
69,83,27.426%,29.603%,33.585%,32.666%,31.859%,30.850%,33.596%,24.157%,25.455%
70,82,27.396%,29.554%,33.185%,32.342%,31.442%,30.745%,33.246%,24.137%,25.431%
71,77,38.808%,45.881%,55.589%,53.052%,52.209%,49.634%,55.987%,33.308%,35.550%
72,76,32.047%,34.512%,39.111%,37.750%,37.659%,36.231%,39.052%,29.677%,30.592%
73,75,31.080%,32.871%,37.581%,36.432%,36.206%,34.623%,37.690%,28.473%,29.549%
74,74,29.771%,31.540%,35.942%,34.966%,34.547%,33.211%,36.105%,26.971%,28.156%
75,73,28.384%,30.216%,34.243%,33.370%,32.862%,31.829%,34.478%,25.466%,26.680%
76,72,26.942%,28.856%,32.515%,31.762%,31.153%,30.418%,32.828%,23.959%,25.197%
77,66,38.812%,43.157%,53.623%,51.106%,50.275%,47.296%,53.968%,33.361%,35.667%
78,65,32.387%,33.467%,38.249%,37.460%,36.901%,35.326%,38.433%,29.786%,30.907%
79,64,31.109%,32.160%,36.672%,36.072%,35.285%,33.926%,36.908%,28.283%,29.543%
80,63,29.725%,30.848%,34.967%,34.491%,33.608%,32.553%,35.287%,26.778%,28.072%
81,62,28.283%,29.487%,33.230%,32.887%,31.894%,31.138%,33.626%,25.271%,26.589%
82,55,38.647%,40.282%,51.693%,49.321%,48.289%,44.844%,52.130%,33.217%,35.525%
83,54,32.391%,32.777%,37.414%,36.953%,36.042%,34.601%,37.769%,29.535%,30.792%
84,53,31.027%,31.497%,35.719%,35.403%,34.407%,33.266%,36.204%,28.030%,29.350%
85,52,29.589%,30.149%,33.984%,33.805%,32.695%,31.864%,34.556%,26.523%,27.867%
86,44,38.180%,38.884%,49.402%,47.452%,46.035%,43.213%,50.066%,32.722%,35.054%
87,43,30.669%,30.890%,35.003%,34.843%,32.695%,32.635%,35.555%,27.640%,28.988%
88,42,29.251%,29.603%,33.282%,33.286%,31.988%,31.292%,33.939%,26.132%,27.505%
89,33,37.647%,38.377%,47.053%,45.611%,43.794%,42.352%,47.980%,32.198%,34.552%
90,32,28.883%,29.250%,32.514%,32.635%,31.207%,30.891%,33.264%,25.739%,27.150%
91,22,37.076%,37.823%,44.667%,43.772%,41.550%,41.454%,45.876%,31.643%,33.979%
92,AKo,53.950%,56.532%,63.278%,61.958%,60.064%,60.309%,64.154%,39.785%,48.652%
93,AQo,45.031%,50.815%,60.595%,59.043%,56.322%,55.942%,61.193%,28.151%,35.599%
94,AJo,36.102%,44.232%,57.850%,56.329%,52.882%,50.946%,59.027%,25.481%,29.621%
95,ATo,31.256%,39.154%,55.098%,53.786%,49.284%,46.548%,57.166%,25.880%,28.283%
96,A9o,28.801%,35.039%,50.066%,49.241%,45.047%,41.661%,53.389%,25.170%,25.899%
97,A8o,27.972%,33.581%,47.703%,47.102%,41.912%,38.204%,51.111%,25.452%,26.285%
98,A7o,28.102%,32.698%,45.441%,44.939%,40.289%,36.154%,48.884%,25.628%,26.402%
99,A6o,27.916%,31.849%,43.363%,43.570%,39.162%,34.814%,47.041%,25.339%,26.216%
100,A5o,29.375%,32.551%,43.113%,43.942%,39.565%,35.199%,46.809%,26.856%,27.682%
101,A4o,28.992%,32.139%,41.976%,43.197%,38.699%,34.511%,45.853%,26.422%,27.270%
102,A3o,28.583%,31.784%,41.212%,42.611%,37.956%,34.089%,45.200%,25.986%,26.873%
103,A2o,28.182%,31.406%,40.421%,42.016%,37.187%,33.645%,44.546%,25.548%,26.431%
104,KQo,33.552%,37.337%,46.000%,49.570%,44.117%,39.410%,50.776%,25.308%,29.471%
105,KJo,31.340%,34.470%,43.832%,47.079%,41.092%,36.971%,48.890%,22.577%,30.910%
106,KTo,31.777%,33.599%,41.774%,44.775%,39.212%,35.987%,47.188%,23.162%,29.661%
107,K9o,29.834%,32.331%,38.653%,41.368%,36.628%,33.792%,43.744%,21.877%,26.780%
108,K8o,28.123%,30.763%,37.249%,39.449%,34.681%,32.099%,40.993%,21.471%,26.223%
109,K7o,28.452%,30.720%,36.976%,38.543%,34.938%,32.481%,39.983%,21.753%,26.504%
110,K6o,28.585%,30.218%,36.575%,38.202%,34.570%,32.092%,39.236%,21.774%,26.658%
111,K5o,28.477%,29.476%,35.887%,37.585%,33.990%,31.404%,38.410%,21.633%,26.499%
112,K4o,28.103%,29.139%,35.204%,36.996%,33.270%,30.982%,37.700%,21.184%,26.099%
113,K3o,27.701%,28.764%,34.489%,36.402%,32.539%,30.574%,37.051%,20.731%,25.711%
114,K2o,27.304%,28.377%,33.763%,35.800%,31.793%,30.158%,36.406%,20.274%,25.280%
115,QJo,30.764%,34.430%,41.601%,43.253%,39.312%,36.499%,44.407%,25.302%,29.636%
116,QTo,31.216%,33.567%,39.565%,40.995%,38.650%,35.807%,42.783%,25.611%,28.360%
117,Q9o,29.266%,32.270%,37.159%,38.213%,36.044%,33.609%,40.015%,24.627%,25.473%
118,Q8o,27.516%,30.606%,35.773%,36.348%,34.282%,31.886%,38.061%,23.786%,24.954%
119,Q7o,26.625%,29.331%,34.361%,34.444%,33.363%,31.024%,36.545%,22.750%,23.989%
120,Q6o,26.974%,29.063%,34.238%,34.613%,33.264%,30.891%,36.201%,23.102%,24.341%
121,Q5o,26.865%,28.320%,33.576%,34.162%,32.713%,30.209%,35.595%,22.991%,24.182%
122,Q4o,26.488%,28.011%,32.877%,33.678%,31.993%,29.802%,34.959%,22.581%,23.778%
123,Q3o,26.082%,27.632%,32.132%,33.059%,31.258%,29.385%,34.309%,22.167%,23.386%
124,Q2o,25.682%,27.241%,31.377%,32.425%,30.503%,28.960%,33.657%,21.749%,22.950%
125,JTo,31.143%,34.476%,38.417%,38.908%,38.086%,36.543%,41.409%,24.475%,30.117%
126,J9o,29.192%,33.124%,36.677%,36.681%,35.511%,34.355%,39.019%,23.551%,27.495%
127,J8o,27.472%,31.542%,35.307%,34.852%,33.980%,32.688%,37.116%,22.756%,26.641%
128,J7o,26.488%,30.143%,33.881%,33.154%,33.055%,31.727%,35.774%,21.723%,25.700%
129,J6o,25.535%,28.538%,32.504%,32.307%,31.671%,30.254%,34.334%,20.574%,24.743%
130,J5o,25.679%,28.095%,32.118%,32.126%,31.389%,29.863%,34.114%,20.796%,24.909%
131,J4o,25.303%,27.803%,31.416%,31.649%,30.668%,29.470%,33.481%,20.379%,24.524%
132,J3o,24.898%,27.432%,30.656%,31.015%,29.927%,29.057%,32.820%,19.959%,24.151%
133,J2o,24.499%,27.049%,29.886%,30.362%,29.162%,28.637%,32.155%,19.534%,23.736%
134,T9o,30.455%,33.421%,37.173%,36.444%,35.780%,35.079%,38.617%,24.409%,27.432%
135,T8o,28.645%,31.843%,35.819%,34.639%,34.486%,33.440%,36.543%,23.767%,26.584%
136,T7o,27.633%,30.422%,34.381%,33.086%,33.507%,32.450%,35.336%,22.898%,25.669%
137,T6o,26.690%,28.792%,32.960%,32.193%,32.113%,30.956%,33.907%,21.882%,24.714%
138,T5o,25.487%,26.980%,31.238%,30.727%,30.519%,29.194%,32.411%,20.541%,23.464%
139,T4o,25.430%,26.989%,30.807%,30.511%,30.086%,29.105%,32.039%,20.523%,23.403%
140,T3o,25.034%,26.616%,30.046%,29.875%,29.352%,28.695%,31.371%,20.100%,23.026%
141,T2o,24.644%,26.231%,29.274%,29.216%,28.590%,28.277%,30.690%,19.674%,22.607%
142,98o,28.951%,32.617%,36.989%,35.233%,34.694%,33.630%,36.797%,24.534%,26.021%
143,97o,28.184%,31.406%,35.645%,33.932%,33.839%,32.772%,35.680%,24.258%,25.501%
144,96o,27.342%,29.881%,34.263%,33.048%,32.476%,31.326%,34.254%,23.251%,24.664%
145,95o,26.153%,28.092%,32.551%,31.567%,30.861%,29.560%,32.726%,21.910%,23.415%
146,94o,24.684%,26.732%,30.750%,30.011%,29.077%,28.101%,31.030%,20.304%,21.843%
147,93o,24.627%,26.677%,30.328%,29.684%,28.627%,27.985%,30.652%,20.282%,21.817%
148,92o,24.238%,26.298%,29.579%,29.039%,27.863%,27.566%,29.976%,19.855%,21.394%
149,87o,28.447%,31.755%,36.421%,34.486%,34.669%,33.177%,36.109%,25.639%,26.390%
150,86o,27.687%,30.349%,35.112%,33.674%,33.378%,31.816%,34.828%,24.685%,25.676%
151,85o,26.520%,28.556%,33.429%,32.212%,31.785%,30.050%,33.334%,23.353%,24.540%
152,84o,25.049%,27.157%,31.642%,30.636%,29.992%,28.557%,31.615%,21.747%,23.045%
153,83o,23.514%,25.738%,29.816%,28.947%,28.180%,27.069%,29.864%,20.137%,21.466%
154,82o,23.479%,25.681%,29.384%,28.600%,27.735%,26.955%,29.487%,20.111%,21.436%
155,76o,28.475%,30.994%,35.723%,34.392%,34.350%,32.788%,35.697%,26.028%,26.944%
156,75o,27.453%,29.255%,34.102%,32.998%,32.813%,31.090%,34.260%,24.749%,25.839%
157,74o,26.054%,27.842%,32.346%,31.440%,31.046%,29.591%,32.564%,23.143%,24.350%
158,73o,24.572%,26.426%,30.527%,29.737%,29.249%,28.116%,30.824%,21.534%,22.770%
159,72o,23.028%,24.969%,28.676%,28.018%,27.425%,26.608%,29.059%,19.920%,21.182%
160,65o,28.839%,29.904%,34.820%,34.098%,33.559%,31.850%,35.069%,26.144%,27.284%
161,64o,27.474%,28.515%,33.132%,32.625%,31.836%,30.364%,33.440%,24.538%,25.826%
162,63o,25.995%,27.112%,31.306%,30.937%,30.048%,28.899%,31.707%,22.928%,24.252%
163,62o,24.451%,25.654%,29.445%,29.224%,28.220%,27.386%,29.931%,21.315%,22.664%
164,54o,28.845%,29.194%,33.939%,33.574%,32.657%,31.103%,34.374%,25.876%,27.160%
165,53o,27.388%,27.826%,32.124%,31.920%,30.914%,29.676%,32.702%,24.266%,25.617%
166,52o,25.847%,26.382%,30.267%,30.214%,29.088%,28.179%,30.939%,22.652%,24.029%
167,43o,27.001%,27.198%,31.367%,31.335%,30.109%,29.020%,32.013%,23.845%,25.227%
168,42o,25.483%,25.821%,29.524%,29.674%,28.312%,27.586%,30.285%,22.231%,23.639%
169,32o,25.086%,25.440%,28.711%,28.983%,27.517%,27.156%,29.570%,21.806%,23.256%
